Configuration Load
   13         68200
    7         70986
   18         72677
    4         72984
   10         73572
    6         73836
   14         73936
   20         75062
    2         76228
   15         76275
    9         76354
    3         76588
   19         77271
   12         78467
    8         78681
   17         80888
   16         81943
    1         82015
    5         82858
   11         84094
Configuration Load
   20         81955
    8         82539
   19         85650
    5         87173
   11         87210
   14         87510
    2         87950
    3         89081
   16         90660
   10         90905
    1         90960
    9         91574
   17         93301
    4         94660
   13         95269
   15         95418
   18         95763
   12         96774
    7         98777
    6         99436
Configuration Load
    5         64039
    6         64858
    9         65091
   11         65106
   16         65396
   18         66701
   17         67121
   15         67338
   19         67523
    7         67907
   20         68596
    2         69625
    1         70039
   13         70174
    8         70918
   12         71341
   10         71768
    3         72420
    4         72897
   14         80731
Configuration Load
   13         66758
    4         72243
    6         74177
   17         75065
    9         75889
   20         76275
   11         76319
   16         76820
   12         77026
    3         77329
   15         78488
    5         78766
   14         79267
    2         81179
   10         81388
    8         81493
    1         81592
    7         81881
   18         81932
   19         82265
Configuration Load
    2         75563
    6         78735
    8         78995
    5         79105
   16         79168
   18         80399
    3         80779
   11         81301
   13         81509
   12         81986
   19         82366
    9         83294
    4         83593
   15         83670
   17         84424
    7         84431
   10         84851
   20         84994
    1         85039
   14         89047
Configuration Load
   20         67669
    6         70999
   15         71821
    1         72621
    5         73361
    9         74343
   12         74441
   17         74562
   18         75417
    7         75459
   11         75618
   14         76985
   19         77650
   10         77663
   13         77918
   16         78659
    4         79488
    3         79545
    8         80119
    2         81058
Configuration Load
    6         67709
    1         69239
    5         70869
    7         71605
   10         72584
    8         73527
    9         75384
    3         75752
    4         75893
    2         82972
Configuration Load
   11         73472
    5         73873
   19         74743
    9         74928
   14         76010
    3         76294
   17         76632
   12         77090
   20         77226
   10         77359
    4         78062
    8         78678
   13         78918
   16         80000
    7         80303
   15         80626
   18         82724
    1         83888
    2         85059
    6         88173
Configuration Load
   19         70947
   17         71418
   15         71862
    9         72033
    1         73521
    5         73773
   20         74470
    4         74817
    3         75508
   18         77157
   14         77377
   13         78193
    8         78638
    7         79002
    6         79635
    2         79753
   10         79932
   12         79995
   11         82652
   16         83818
Configuration Load
    1         75676
   12         76014
   16         76029
    3         77722
   14         78769
   15         78798
   11         79555
   19         79900
    2         80028
   10         80423
   13         80943
   20         80976
   18         81910
    5         81986
   17         82051
    8         83215
    6         83545
    4         85598
    9         88635
    7         89537
