Case 1: checksum = 0000
 SYMBOL   ADDR
--------  ----
AAH       ????
AAQ       ????
AAU       ????
ABN       ????
ABR       ????
ACE       ????
ADE       ????
ADI       ????
ADL       ????
ADR       ????
AER       ????
AFD       ????
AGE       ????
AGP       ????
AGT       ????
AHG       ????
AIT       ????
AIV       ????
AJJ       ????
AJP       ????
AKR       ????
AKY       ????
ALU       ????
ALW       ????
AMA       ????
AMQ       ????
AMU       ????
AMV       ????
AMW       015F
ANC       ????
ANX       ????
AOE       ????
AOP       ????
APO       ????
APY       ????
AQB       ????
AQF       ????
ARQ       ????
ASQ       ????
AVB       ????
AWL       ????
AWS       ????
AWV       ????
AXI       ????
AXL       ????
AXN       ????
AXR       ????
AYJ       ????
AYP       ????
AZC       ????
AZO       ????
AZX       ????
BBL       ????
BCC       ????
BCR       01A0
BCT       ????
BCY       ????
BDE       ????
BDG       ????
BDN       ????
BDW       ????
BFR       ????
BFV       ????
BGF       ????
BGP       ????
BHA       ????
BHM       ????
BHW       ????
BID       ????
BJO       ????
BLN       ????
BLP       0139
BLS       ????
BME       ????
BMU       ????
BMW       ????
BNA       ????
BNG       ????
BOY       ????
BPB       ????
BPH       ????
BPS       ????
BPZ       ????
BQM       ????
BRK       ????
BRT       ????
BTD       ????
BUW       ????
BVI       ????
BVK       ????
BVZ       ????
BWA       ????
BWE       ????
BWL       ????
BWP       ????
BYB       ????
BYL       ????
BZJ       ????
CAI       ????
CAR       ????
CAW       ????
CBG       ????
CBQ       ????
CBU       ????
CBX       ????
CCN       ????
CCX       ????
CDG       ????
CDN       0173
CEF       ????
CEL       ????
CEN       ????
CEW       ????
CFN       ????
CGI       ????
CGX       ????
CHJ       ????
CHP       ????
CIF       ????
CIJ       ????
CKG       ????
CKH       ????
CLG       013B
CLH       ????
CMJ       ????
CMY       ????
CNE       ????
CNH       ????
COO       ????
COX       ????
CPE       ????
CPW       ????
CPY       ????
CRI       ????
CRV       ????
CSI       ????
CSL       ????
CTJ       ????
CTW       ????
CUB       ????
CXA       ????
CXL       ????
CYJ       ????
CZI       ????
DAB       ????
DAC       ????
DAH       ????
DAR       ????
DAS       ????
DBN       ????
DDQ       ????
DED       ????
DEG       0159
DEU       ????
DEW       ????
DGD       ????
DGJ       ????
DGQ       ????
DHM       ????
DHO       ????
DHZ       ????
DJP       ????
DJW       ????
DKL       ????
DKQ       ????
DKR       ????
DKS       ????
DLN       ????
DLP       ????
DLR       ????
DLS       ????
DMC       0158
DMK       ????
DMR       ????
DMS       ????
DMT       0152
DNC       ????
DNJ       ????
DOR       ????
DOT       ????
DPE       ????
DQU       ????
DRC       ????
DUQ       ????
DWA       ????
DWK       ????
DWT       014A
DXV       ????
DXY       ????
DYN       ????
DYT       ????
EAC       ????
EAH       ????
EAK       ????
EAR       ????
EBB       ????
EBP       ????
ECF       ????
ECH       ????
ECK       ????
EDQ       ????
EDX       ????
EEY       ????
EFD       ????
EFQ       ????
EFS       ????
EFZ       ????
EGG       ????
EHL       ????
EIA       ????
EIX       ????
EJK       ????
EJU       ????
EJX       ????
EKK       ????
ELP       ????
EMF       ????
EML       ????
EOI       ????
EOQ       ????
EPF       ????
EQD       ????
EQG       ????
EQJ       ????
EQS       ????
EQT       ????
EQX       0137
ERN       ????
ERV       ????
EST       ????
ETD       ????
ETJ       ????
ETL       ????
ETN       ????
EUE       ????
EUF       0139
EUT       ????
EWL       ????
EXN       01BE
EYR       ????
EYT       ????
EZA       ????
EZY       ????
FBT       ????
FCE       ????
FEJ       0183
FEL       ????
FER       ????
FET       ????
FEW       ????
FGE       ????
FGT       013B
FHP       ????
FHQ       ????
FII       ????
FIU       ????
FIW       ????
FJA       ????
FJF       ????
FKB       ????
FKT       ????
FKZ       ????
FLP       ????
FMF       ????
FMN       ????
FMQ       ????
FMV       ????
FMY       ????
FNE       ????
FNF       ????
FNH       ????
FNR       ????
FOP       ????
FPK       ????
FPL       ????
FQF       ????
FQR       ????
FRH       ????
FRV       ????
FSE       ????
FTE       ????
FTJ       ????
FUH       ????
FUX       ????
FVA       ????
FVB       ????
FVG       ????
FVI       ????
FVR       ????
FWA       ????
FWK       ????
FWL       ????
FXE       ????
FYB       ????
FYE       ????
FYK       ????
FYP       ????
FYY       ????
FZI       ????
GAA       ????
GAT       ????
GBG       ????
GCF       01A8
GCJ       ????
GCL       ????
GCO       ????
GDK       ????
GFV       ????
GFZ       ????
GGF       ????
GGU       ????
GGY       ????
GHG       ????
GJC       ????
GKO       ????
GKR       ????
GLC       ????
GLI       ????
GLQ       ????
GLX       ????
GMT       ????
GMY       0185
GOB       ????
GOH       ????
GOV       ????
GPD       ????
GQG       ????
GQN       ????
GQO       ????
GSK       ????
GTL       ????
GTT       01B2
GUG       ????
GUV       ????
GVG       ????
GVJ       ????
GVS       ????
GVZ       ????
GWR       ????
GWS       ????
GXB       ????
GXC       ????
GXS       01B7
GXZ       ????
GYB       ????
GYE       ????
GYJ       ????
GYY       ????
GZC       ????
GZN       ????
HAD       ????
HAN       ????
HCL       ????
HCO       ????
HCV       ????
HCX       ????
HDR       ????
HDV       ????
HEL       ????
HEV       ????
HFN       ????
HFV       ????
HIA       ????
HJF       ????
HJI       ????
HJK       ????
HJZ       ????
HKC       ????
HKJ       ????
HMN       ????
HMQ       ????
HNS       ????
HNV       ????
HNW       ????
HPX       ????
HPZ       ????
HQR       ????
HRM       ????
HRP       ????
HSA       ????
HSV       ????
HSX       ????
HUM       ????
HUU       01E8
HVM       ????
HWF       ????
HWI       ????
HWS       ????
HXA       ????
HXC       ????
HYQ       ????
HZN       019A
HZU       ????
IAU       ????
IBB       ????
IBO       ????
IBW       ????
ICI       ????
ICT       ????
ICW       ????
IDV       ????
IEA       ????
IEE       ????
IFJ       ????
IFW       ????
IFX       ????
IGG       ????
IGL       ????
IGR       ????
IHK       ????
IIC       ????
IIK       ????
IIN       ????
IIV       ????
IJR       ????
IJV       ????
IKJ       ????
IKO       ????
IKS       ????
ILC       ????
ILJ       ????
IML       013A
INF       ????
INI       ????
INP       ????
IQE       ????
IQF       ????
IQH       ????
IRD       ????
IRQ       ????
IRX       ????
ISF       ????
IST       ????
IUD       ????
IUE       ????
IVL       ????
IVR       ????
IVX       ????
IWI       ????
IXE       ????
IXT       ????
IYC       ????
IYP       ????
IYS       ????
IZJ       ????
JAH       ????
JAX       ????
JBX       ????
JBZ       ????
JCG       ????
JCK       ????
JCL       ????
JCM       ????
JCN       ????
JDG       ????
JEL       ????
JFG       ????
JFJ       ????
JHH       ????
JIJ       ????
JJN       ????
JJY       ????
JME       ????
JMT       ????
JNA       ????
JNL       ????
JOZ       ????
JPD       ????
JPF       ????
JPW       ????
JPY       ????
JQA       ????
JQL       ????
JRS       ????
JRZ       ????
JSA       ????
JSQ       ????
JSU       ????
JTB       ????
JVX       ????
JWH       ????
JWP       ????
