20 87
0 1 1911
0 2 2227
1 3 18
3 4 417
3 5 1942
4 6 1356
0 7 2908
2 8 2957
5 9 2513
0 10 2149
4 11 638
2 12 1138
3 13 1466
0 14 143
8 15 2159
2 16 433
13 17 2602
15 18 1855
17 19 2631
13 4 113
19 4 3222
5 11 2694
9 10 1700
5 7 135
14 10 1389
3 10 1094
18 11 1494
16 12 697
9 2 201
17 0 1128
16 18 982
17 18 2503
5 19 1311
6 10 3150
1 17 3268
12 11 2443
16 7 1418
6 1 1155
13 19 110
12 1 1323
4 5 2806
12 5 211
11 13 1585
4 0 2040
19 1 3510
19 8 1810
5 13 160
1 2 3043
4 9 2214
1 5 3026
12 18 2377
0 13 2892
4 1 1997
5 17 769
0 9 1915
17 12 2933
16 13 2484
14 7 3282
10 4 2887
17 10 164
13 7 2109
6 9 3035
14 5 3286
9 11 1847
18 7 1760
11 3 1451
3 17 2357
16 19 1077
3 15 249
7 9 2129
2 13 3526
9 19 3139
16 10 2412
12 15 522
9 13 2364
19 12 1240
10 8 3404
4 16 1335
0 18 2078
17 14 523
15 5 305
15 13 1795
14 13 3123
19 10 3363
7 8 102
7 11 608
5 8 173
